service,device
TEST SNAP 4DX + SNAP LEISH,SNAP
EMOCROMO CON FORMULA,LASER
PROFILO BIOCHIMICO 15+ ELETTROLITI,CATALYST
ESAME DELLE URINE CON SEDIMENTO,EST
PROFILO BIOCHIMICO 15,CATALYST
PRELIEVO + ESAMI DI LABORATORIO,EST
ESAME DELLE URINE,UA
ESAME CITOLOGICO,CITO
TOTAL T4 TEST,CATALYST
ESAMI DI LABORATORIO,EST
PROFILO COAGULATIVO,COAG
TAMPONE MICOBATTERIOLOGICO SPEED BIO,NO
ESAME ELETTROLITI,CATALYST
PROTEINA C REATTIVA,CATALYST
TEST DERMATOLOGICO PER DERMATOFITI,NO
FENOBARBITALEMIA,CATALYST
QPE,EST
INDAGINE SIEROLOGICA LEISHMANIA,EST
TEST SNAP 4DX,SNAP
PROFILO BIOCHIMICO 10,CATALYST
TEST SNAP FIV/FELV,SNAP
TEST PARVOVIROSI,NO
PROFILO RENALE + PRELIEVO,CATALYST
ESAME ISTOLOGICO,VETMED
TEST GIARDIA,NO
TEST ANGIO DETECT,SNAP
ESAME DELLE URINE PU/CU,EST
VACCICHECK CANINO IGG,EST
CONTROLLO GLICEMICO GIORNALIERO (2 TEST),CATALYST
PROFILO TIROIDEO IN SERVICE,EST
PROFILO BIOCHIMICO 10+ELETTROLITI,CATALYST
TEST SNAP LEISHMANIA,SNAP
PROFILO BIOCHIMICO 17,CATALYST
