NUM_FATT,DATA,COD_CLIE,QUANTITA,GRUPPO,PRESTAZION,PREZZO,IVA,ENPAV
1,02/01/2018,6248,1,AMBULATORIO,VISITA+ES. COPROLOGICO,28.13,6.31,0.56
2,02/01/2018,4467,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
3,02/01/2018,6247,1,AMBULATORIO,INDAGINE XGRAFICA + SEDAZIONE,40.18,9.02,0.80
4,02/01/2018,5362,1,VACCINAZIONI,VERSICAN DHPPI+L4,40.18,9.02,0.80
5,02/01/2018,3537,1,VACCINAZIONI,VERSICAN DHPPI+L4,40.18,9.02,0.80
6,02/01/2018,4636,1,AMBULATORIO,SOMMINISTRAZIONE,29.74,6.67,0.59
6,02/01/2018,4636,1,ANALISI,EMOCROMO CON FORMULA,20.09,4.51,0.40
7,03/01/2018,1414,1,VACCINAZIONI,VERSICAN DHPPI,24.11,5.41,0.48
8,03/01/2018,6249,1,AMBULATORIO,VISITA+ES. COPROLOGICO,28.13,6.31,0.56
9,03/01/2018,2886,1,AMBULATORIO,VISITA,24.11,5.41,0.48
9,03/01/2018,2886,1,AMBULATORIO,ESAME ECOGRAFICO,40.18,9.02,0.80
10,03/01/2018,6210,1,VACCINAZIONI,VERSICAN DHPPI,24.11,5.41,0.48
11,03/01/2018,4433,1,VACCINAZIONI,VERSICAN L4,24.11,5.41,0.48
11,03/01/2018,4433,1,VACCINAZIONI,VERSICAN DHPPI+L4,40.18,9.02,0.80
12,03/01/2018,5496,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
13,03/01/2018,5665,1,VACCINAZIONI,VERSICAN DHPPI+L4,40.18,9.02,0.80
14,03/01/2018,6228,1,VACCINAZIONI,VERSICAN DHPPI,24.11,5.41,0.48
15,04/01/2018,4468,1,ANALISI,EMOCROMO CON FORMULA,20.09,4.51,0.40
15,04/01/2018,4468,1,ANALISI,PROFILO BIOCHIMICO 15+ ELETTROLITI,40.18,9.02,0.80
16,04/01/2018,6170,1,VACCINAZIONI,VERSICAN L4,24.11,5.41,0.48
17,04/01/2018,2360,1,AMBULATORIO,VISITA,24.11,5.41,0.48
17,04/01/2018,2360,1,ANALISI,EMOCROMO CON FORMULA,20.09,4.51,0.40
17,04/01/2018,2360,1,ANALISI,PROFILO BIOCHIMICO 15+ ELETTROLITI,40.18,9.02,0.80
17,04/01/2018,2360,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
18,04/01/2018,6223,1,VACCINAZIONI,VERSICAN DHPPI+L4,32.15,7.21,0.64
19,04/01/2018,5253,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
20,04/01/2018,545,1,VACCINAZIONI,VERSICAN L4,24.11,5.41,0.48
21,05/01/2018,5412,1,AMBULATORIO,TERAPIA,18.48,4.15,0.37
22,05/01/2018,6251,1,AMBULATORIO,VISITA + TERAPIA,28.13,6.31,0.56
23,05/01/2018,3734,1,ANALISI,ESAME DELLE URINE CON SEDIMENTO,24.11,5.41,0.48
24,05/01/2018,3349,1,AMBULATORIO,VISITA,24.11,5.41,0.48
24,05/01/2018,3349,1,AMBULATORIO,SOMMINISTRAZIONE,9.65,2.16,0.19
25,05/01/2018,6252,1,AMBULATORIO,VISITA,24.11,5.41,0.48
25,05/01/2018,6252,1,ANALISI,EMOCROMO CON FORMULA,20.09,4.51,0.40
25,05/01/2018,6252,1,ANALISI,PROFILO BIOCHIMICO 15,32.15,7.21,0.64
